From_Category,To_Category,Ratio_of_human_to_shortest
C0001,C0001,1.7417717878127952
C0001,C0002,1.8354297693920334
C0001,C0003,1.8257705479452055
C0001,C0004,1.7762237762237765
C0001,C0005,1.6539262653613829
C0001,C0006,1.8241583257506826
C0001,C0007,1.894294049799851
C0001,C0008,1.638497790868925
C0001,C0009,1.767448127189437
C0001,C0010,1.8209790209790209
C0001,C0011,1.7938608842579553
C0001,C0012,1.6139018691588782
C0001,C0013,1.731095406360424
C0001,C0014,1.6538800446454796
C0001,C0015,1.7326337880377756
C0001,C0016,1.8076877418742134
C0001,C0017,1.8354297693920334
C0001,C0019,1.9611197511664074
C0001,C0020,1.935611038107753
C0001,C0021,1.4462474645030425
C0001,C0022,1.843137254901961
C0001,C0023,1.9779179810725553
C0001,C0024,1.585185185185185
C0001,C0025,1.8039215686274508
C0001,C0026,1.9215686274509804
C0001,C0027,1.9429429429429428
C0001,C0028,1.9596977329974812
C0001,C0029,1.586872586872587
C0001,C0030,1.8762088974854931
C0001,C0031,1.6856211517566102
C0001,C0032,1.8159392789373812
C0001,C0033,1.6468253968253967
C0001,C0034,1.8852855759922555
C0001,C0035,1.589442815249267
C0001,C0036,1.7118644067796611
C0001,C0037,2.329479768786127
C0001,C0038,1.798501872659176
C0001,C0039,2.063342318059299
C0001,C0040,2.0181043663471776
C0001,C0041,1.7303459119496856
C0001,C0042,1.9682467335156488
C0001,C0043,2.206060606060606
C0001,C0044,1.9536585365853658
C0001,C0045,1.6001540832049306
C0001,C0046,1.622874806800618
C0001,C0047,1.5491183879093202
C0001,C0048,2.070811744386874
C0001,C0049,1.6144549763033176
C0001,C0050,1.6467391304347827
C0001,C0051,1.7942942942942943
C0001,C0052,1.8262135922330096
C0001,C0053,1.5628277335404934
C0001,C0054,1.5615327929255713
C0001,C0055,1.6020665322580645
C0001,C0056,1.5690121786197566
C0001,C0057,1.684971098265896
C0001,C0058,1.6403766921718657
C0001,C0059,1.7554671968190856
C0001,C0060,1.8386167146974062
C0001,C0061,1.7446808510638296
C0001,C0062,1.5771531100478469
C0001,C0063,1.6277372262773724
C0001,C0064,1.6379870129870129
C0001,C0065,1.7595102754700482
C0001,C0066,1.7136929460580914
C0001,C0067,1.9189829437776376
C0001,C0068,1.9304187192118227
C0001,C0069,1.6142857142857143
C0001,C0070,1.6188340807174888
C0001,C0071,1.485530546623794
C0001,C0072,1.6091370558375637
C0001,C0073,1.5033377837116153
C0001,C0074,1.3981552651806304
C0001,C0075,1.8151750972762648
C0001,C0076,2.0704225352112675
C0001,C0077,1.7681159420289856
C0001,C0078,1.6444796619123085
C0001,C0079,1.9384615384615385
C0001,C0080,2.0654205607476634
C0001,C0081,1.8974358974358976
C0001,C0082,2.0178041543026706
C0001,C0083,1.9488888888888891
C0001,C0084,1.5965811965811967
C0001,C0085,1.6782786885245902
C0001,C0086,1.6291161178509532
C0001,C0087,1.8082901554404143
C0001,C0088,1.4857142857142858
C0001,C0089,1.7433366238894372
C0001,C0090,1.7685185185185188
C0001,C0091,2.006172839506173
C0001,C0092,1.6919831223628694
C0001,C0093,1.700447093889717
C0001,C0094,1.8248847926267282
C0001,C0095,1.781954887218045
C0001,C0096,1.7183098591549297
C0001,C0097,1.594387755102041
C0001,C0098,1.5677498467198039
C0001,C0099,1.7611111111111113
C0001,C0100,1.888888888888889
C0001,C0101,1.6058631921824105
C0001,C0102,2.053623188405797
C0001,C0103,1.6555023923444976
C0001,C0104,1.624823695345557
C0001,C0105,1.5291338582677165
C0001,C0106,1.6642335766423357
C0001,C0107,1.575352635486266
C0001,C0108,1.5186020293122886
C0001,C0109,1.5442918048318335
C0001,C0110,1.740473738414006
C0001,C0111,1.7200772200772203
C0001,C0112,1.9290953545232274
C0001,C0113,1.9665211062590975
C0001,C0114,1.5834658187599366
C0001,C0115,1.6576402321083172
C0001,C0116,1.6343873517786562
C0001,C0117,1.8637062907987194
C0001,C0118,1.7373109834720433
C0001,C0119,1.7307419060184717
C0001,C0120,1.6013916500994034
C0001,C0121,1.8590561224489799
